pname,society,price_outer,price_per_sqft,possesion,description,Area,Floor Number,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,Floor_On,Total_Floors,area
"2 BHK Flat in rent out residential, Bhopal",surbhi mohini homes,32.5,3823,Ready To Move,"We are the proud owners of this 2 bhk apartment available in surbhi mohini homes, rent out residential, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 850 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 850
(78.97 sq.m.)  
sq.ft.",3rd   of 4 Floors,NA,1 to 5 Year Old,,,,2,2,1,Not Available,3,4,850.12
"3 BHK Flat in Ayodhya Bypass , Bhopal",agrawal sagar lakeview homes,70.0,3749,Ready To Move,"We are the proud owners of this 3 bhk apartment available in agrawal sagar lakeview homes, ayodhya bypass, bhopal. This semi-Furnished apartment it is a and the unit is located on 3rd floor and has a super built-Up area of 1867 sq.Ft. . It has 3 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 1867
(173.45 sq.m.)  
sq.ft.",3rd   of 6 Floors,NA,5 to 10 Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '9 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","Pool,Park/Garden,Club,Main Road",3,3,3,Not Available,3,6,1867.16
"3 BHK Flat in Bawadia Kalan, Bhopal",chinarr sapphire,56.0,3733,Ready To Move,"It's a semi-Furnished 3bhk spacious ready to move in fla. All basic amenities available like a garden, temple, swimming pool, gym in the community centre. This flat comes with one reserved covered parking and ample of space for open parking in the campus premises. It's a 24x7 guarded campus with the camera surveillance. Dedicated lift for each block and a small visitor waiting area.","Super Built up area 1700
(157.94 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.",3rd   of 6 Floors,East,10+ Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Geyser', '8 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Visitor Parking']",Others,3,2,1, others,3,6,1500.13
"3 BHK Flat in Bawadia Kalan, Bhopal",vajra towers,90.0,6000,Ready To Move,The property is brand new and unlived. Has great ventilation and natural light. Comes with 3 split air conditioners and a modular kitchen.,"Carpet area: 1500
(139.35 sq.m.)  
sq.ft.",3rd   of 6 Floors,NA,1 to 5 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",Main Road,3,3,3,Not Available,3,6,1500.0
"3 BHK Flat in Katara Hills, Bhopal",agrawal sagar golden palm,34.0,2142,Ready To Move,It's a corner flat with full air ventilation and sunlight. It's a very spacious flat and as per vastu. Reason for selling - Shifted to mumbai due to job,"Super Built up area 1400
(130.06 sq.m.)  
sq.ft.",6th   of 7 Floors,NA,5 to 10 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","Pool,Park/Garden,Club",3,2,3,Not Available,6,7,1587.3
"4 BHK Flat in Bawadia Kalan, Bhopal",samara gold,93.0,5027,Under Construction,4 bhk luxurious apartment with 4 master bedroom with attached dresing area and washroom with attached balcony and levish daining area living arey and one specious bolcony with sitout plain,"Carpet area: 1850
(171.87 sq.m.)  
sq.ft.",7th   of 12 Floors,East,Under Construction,,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","Pool,Park/Garden,Club,Sea facing,Main Road",4,4,3,Not Available,7,12,1850.01
"1 BHK Flat in Kolar Road, Bhopal",sarvadharm colony,25.0,2774,Ready To Move,"We are the proud owners of this 1 bhk a penthouse apartment available in sainath colony (Sarvadharm colony), kolar road, bhopal. This it is a and the unit is located on 3rd floor penthouse apartment and has a carpet area is 900 sq.Ft. Super built-Up area of 600 sq.Ft. Open space area 300 sq.Ft. Space it has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Built Up area: 900
(83.61 sq.m.)
Carpet area: 600 sq.ft. (55.74 sq.m.)  
sq.ft.",3rd   of 3 Floors,East,5 to 10 Year Old,,"['Private Garden / Terrace', 'False Ceiling Lighting', 'Water Storage', 'Park', 'Natural Light', 'Airy Rooms']",Park/Garden,1,2,1,Not Available,3,3,901.23
"2 BHK Flat in Katara Hills, Bhopal",gauri shankar parisar,16.5,2997,Ready To Move,"Green, bright environment. Big wide road","Carpet area: 550.37
(51.13 sq.m.)  
sq.ft.",4th   of 6 Floors,East,1 to 5 Year Old,,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Natural Light', 'Airy Rooms']","Park/Garden,Main Road",2,1,2,Not Available,4,6,550.55
"3 BHK Flat in Kolar Road, Bhopal",sagar homes 3,27.0,2700,Ready To Move,"Semi furnished, good wooden work, facing kolar main road, well maintained & connected through bus and sharing auto services to around bhopal. Well connected with jk hospital and primary health centre. Nearby vishal mega mart and easily approachable to dmart etc","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.",2nd   of 3 Floors,North,10+ Year Old,"['5 Fan', '1 Fridge', '1 Dining Table', '1 Geyser', '1 Stove', '6 Light', '1 TV', '1 Curtains', '1 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No AC', 'No Chimney', 'No Exhaust Fan', 'No Modular Kitchen', 'No Wardrobe', 'No Water Purifier']",['Water Storage'],,3,2,1,Not Available,2,3,1000.0
"3 BHK Flat in Katara Hills, Bhopal",signature 360,50.0,3333,Ready To Move,"This lovely 3 bhk apartment/flat in katara hills is available for sale in one of bhopal's most popular projects, signature 360. Constructed on a built up area of 1500 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 6 floors tall residential building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The beautifully designed marble flooring enhances the beauty of the flat. The flat will offer a modern lifestyle as it is presented with many of the amenities such as fitness centre / gym, club house / community center, park and lift(s).","Built Up area: 1500
(139.35 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.",2nd   of 6 Floors,NA,5 to 10 Year Old,,"['Lift(s)', 'High Ceiling Height', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",,3,3,2,Not Available,2,6,1500.15
"2 BHK Flat in Kolar Road, Bhopal",sarvadharm colony,22.5,3214,Ready To Move,"Main road flat near all mall showroom , hospital, service centre","Carpet area: 700
(65.03 sq.m.)  
sq.ft.",1st   of 4 Floors,East,10+ Year Old,,"['Maintenance Staff', 'Water Storage']",Main Road,2,2,1,Not Available,1,4,700.06
"3 BHK Flat in Kohefiza, Bhopal",a and a regalia heights,52.0,3851,Ready To Move,"We are the proud owners of this 3 bhk apartment available in a and a regalia heights, kohefiza, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 1350 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 1350
(125.42 sq.m.)  
sq.ft.",Ground of 6 Floors,NA,5 to 10 Year Old,,,,3,2,2,Not Available,0,6,1350.3
"2 BHK Flat in Karond, Bhopal",dwarka dham society,26.0,3527,Ready To Move,"Parking facility, secure colony, proper vantilation, east facing","Carpet area: 737
(68.47 sq.m.)  
sq.ft.",3rd   of 5 Floors,East,1 to 5 Year Old,,"['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",Others,2,2,2,Not Available,3,5,737.17
